Area,Land,Construction
Lodi Road Industrial Area,774000,21960
Maharani Bagh,774000,21960
Nehru Place,774000,21960
New Friends Colony,774000,21960
Panchshila Park,774000,21960
Rajendra Place,774000,21960
Shanti Niketan,774000,21960
Sunder Nagar,774000,21960
Vasant Vihar,774000,21960
Anand Niketan,774000,21960
Basant Lok DDA Complex,774000,21960
Bhikaji Cama Place,774000,21960
Friends Colony,774000,21960
Friends Colony East,774000,21960
Friends Colony West,774000,21960
Golf Links,774000,21960
Kalindi Colony,774000,21960
Anand Lok,246000,17400
Andrews Ganj,246000,17400
Defence Colony,246000,17400
Greater Kailash I,246000,17400
Greater Kailash II,246000,17400
Greater Kailash III,246000,17400
Greater Kailash IV,246000,17400
Green Park,246000,17400
Gulmohar Park,246000,17400
Hamdard Nagar,246000,17400
Hauz Khas,246000,17400
Maurice Nagar,246000,17400
Munirka Vihar,246000,17400
Neeti Bagh,246000,17400
Nehru Enclave,246000,17400
Nizamuddin East,246000,17400
Pamposh Enclave,246000,17400
Panchsheel Park,246000,17400
Safdarjang Enclave,246000,17400
Sarvapriya Vihar,246000,17400
Sarvodaya Enclave,246000,17400
Civil Lines,160000,13920
East of Kailash,160000,13920
East Patel Nagar,160000,13920
Jhandewalan Area,160000,13920
Kailash Hill,160000,13920
Kalkaji,160000,13920
Lajpat Nagar I,160000,13920
Lajpat Nagar II,160000,13920
Lajpat Nagar III,160000,13920
Lajpat Nagar IV,160000,13920
Malviya Nagar,160000,13920
Masjid Moth,160000,13920
Munirka,160000,13920
Nizamuddin West,160000,13920
Panchsheel Extension,160000,13920
Punjabi Bagh,160000,13920
Som Vihar,160000,13920
Vasant Kunj,160000,13920
Alaknanda,160000,13920
Chittaranjan Park,160000,13920
New Rajinder Nagar,128000,11160
Old Rajinder Nagar,128000,11160
Rajouri Garden,128000,11160
Anand Vihar,128000,11160
Daryaganj,128000,11160
Dwarka,128000,11160
East End Apartments,128000,11160
Gagan Vihar,128000,11160
Hudson Line,128000,11160
Indraprastha Extension,128000,11160
Janakpuri,128000,11160
Jangpura A,128000,11160
Jangpura Extension,128000,11160
Jasola Vihar,128000,11160
Karol Bagh,128000,11160
Kirti Nagar,128000,11160
Mayur Vihar,128000,11160
Chandni Chowk,70080,9360
East End Enclave,70080,9360
Gagan Vihar Extension,70080,9360
Hauz Qazi,70080,9360
Jama Masjid,70080,9360
Kashmere Gate,70080,9360
Khirki Extension,70080,9360
Madhuban Enclave,70080,9360
Mahavir Nagar,70080,9360
Moti Nagar,70080,9360
Pahar Ganj,70080,9360
Pandav Nagar,70080,9360
Rohini,70080,9360
Sarai Rihilla,70080,9360
Zakir Nagar Okhla,56640,8220
Anand Parbat,56640,8220
Arjun Nagar,56640,8220
Daya Basti,56640,8220
Dilshad Colony,56640,8220
Dishad Garden,56640,8220
BR Amdedkar Colony,56640,8220
Ganesh Nagar,56640,8220
Govindpuri,56640,8220
Hari Nagar,56640,8220
Jangpura B,56640,8220
Madhu Vihar,56640,8220
Majnu Ka Tila,56640,8220
Mukheree Park Extension,56640,8220
Nand Nagri,56640,8220
Uttam Nagar,56640,8220
Ambedkar Nagar Jahangirpuri,46200,6960
Amdedkar Nagar East Delhi,46200,6960
Amber Vihar,46200,6960
Dabri Extension,46200,6960
Dakshinpuri,46200,6960
Dashrath Puri,46200,6960
Hari Nagar Extension,46200,6960
Vivek Vihar Phase I,46200,6960
Tagore Garden,46200,6960
Sultanpur Majra,23280,3480